id;classroom_number;classroom_description;classroom_state;classroom_type_id;campus_id
1;bypassing;functionalities Azul;lateral facilitate;1;1
2;Account 1080p Raton;Paradigma Técnico;indexing;2;2
3;hardware modelo Rústico;connect synthesizing Distrito;interface digital;3;3
4;Sorprendente XSS Humano;Amarillo cutting-edge;Ergonómico;4;4
5;copy benchmark toda;SAS Algodón Bacon;24/7 hardware;5;5
6;capacitor proactive partnerships;Nigeria content Morado;Madera Pre-emptivo interfaces;6;6
7;generate Pelota;Rojo evolve;reboot PCI;7;7
8;desafío Expandido XSS;back;Sum;8;8
9;Atún;compressing;Bedfordshire generación;9;9
10;Personal Algodón index;Marca;IB circuit;10;10
