id;course_number;start_date;end_date;route;course_status_id;training_program_id
1;Dollar Noruega Innovador;2022-06-03;2022-06-03;holistic Inteligente embrace;1;1
2;la Salchichas niches;2022-06-03;2022-06-03;FTP Ejecutivo;2;2
3;Galicia Genérico deposit;2022-06-03;2022-06-03;Andalucía;3;3
4;Caserio reboot Explanada;2022-06-04;2022-06-03;software;4;4
5;Heredado;2022-06-03;2022-06-03;Zambian Refinado;5;5
6;Corporativo;2022-06-03;2022-06-04;ROI;6;6
7;Increible bandwidth;2022-06-03;2022-06-03;auxiliary Account open-source;7;7
8;Account;2022-06-03;2022-06-03;moderador Buckinghamshire Fantástico;8;8
9;Inversor Producto;2022-06-03;2022-06-03;Avon Coche;9;9
10;withdrawal;2022-06-03;2022-06-03;compressing;10;10
