id;level_error;log_name;message_error;date_error;customer_id
1;incubate;Mancha morph;Loan Cuentas;2022-06-03T08:35:54;1
2;compressing Diseñador Ejecutivo;Edificio Supervisor streamline;cross-platform Monetary;2022-06-04T04:04:45;2
3;evolve Obligatorio;Coche;Vía Hormigon;2022-06-03T22:06:21;2
4;Comunidad impactful;de;desafío;2022-06-03T23:35:38;2
5;Increible;array Operativo;Canarias Jamaican Amarillo;2022-06-03T08:19:11;2
6;virtual;virtual Electrónica;hacking Reducido Madera;2022-06-03T19:03:12;1
7;disintermediate iniciativa;supply-chains architect Descentralizado;virtual;2022-06-03T22:33:59;2
8;deposit Account;aprovechar Electrónica Moda;Negro Extremadura;2022-06-03T19:43:59;2
9;Implementado Buckinghamshire;Granito;functionalities Inteligente Directo;2022-06-03T11:09:25;1
10;initiatives;Increible Librería China;Rioja networks Producto;2022-06-04T02:59:25;2
