id;program_code;program_version;program_name;program_initials;program_state
1;Metal Tajikistan Granito;port;BIATHLON;input multi-byte matrix;DISCONTINUED
2;enable estructura Leone;Heredado Fundamental;BMX;Madera;DISCONTINUED
3;la Auto Marfil;sinergia bypass Plástico;TENNIS;quantifying Kong;EXECUTION
4;Mesa matrix SAS;matrix incentivize;SKATING;invoice Mesa Buckinghamshire;EXECUTION
5;sticky auxiliary Especialista;Guapa Salud;TENNIS;Berkshire Rial;EXECUTION
6;Checa;reboot Card bypassing;WATERPOLO;Hormigon transparent;EXECUTION
7;Toallas leverage plug-and-play;RAM;BASKETBALL;invoice;DISCONTINUED
8;reboot Andalucía La;Salud synthesize;VOLLEYBALL;Sorprendente;EXECUTION
9;Normas Buckinghamshire application;Account Rojo;WATERPOLO;Card;DISCONTINUED
10;Franc Bricolaje Asimilado;Acero Monitorizado;KARATE;Armenia;EXECUTION
